,subject_id_within_expert_type,trial_nr,block_nr,instr_type,trial_type,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,abs_conf_rating,subject_id
62,5,62,6,natural,main,False,6,layer_4,3,channel_0,max_min,True,-3,4.2980797290802,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_0/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_0/natural_images/batch_6/min_0.png,,,42,"4c, P ",3,5
63,5,63,6,natural,main,False,6,layer_7,3,channel_1,max_min,True,-3,2.239654779434204,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_1/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_1/natural_images/batch_6/min_0.png,,,42,"5a, P int.",3,5
64,5,64,6,natural,main,False,6,layer_2,0,channel_0,max_min,True,-2,4.984327793121338,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_6/min_0.png,,,42,"4a, 1x1 ",2,5
65,5,65,6,natural,main,False,6,layer_7,2,channel_0,min_max,True,2,19.867594957351685,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_2/channel_0/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_2/channel_0/natural_images/batch_6/max_9.png,,,42,"5a, 5x5 ",2,5
66,5,66,6,natural,main,True,0,layer_t,t,channel_t,min_max,True,3,5.151870965957642,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_t/kernel_size_t/channel_t/natural_images/batch_0/min_1.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_t/kernel_size_t/channel_t/natural_images/batch_0/max_6.png,,,42,"layer_t, t ",3,5
67,5,67,6,natural,main,False,6,layer_1,2,channel_0,max_min,True,-3,8.694153785705566,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_2/channel_0/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_2/channel_0/natural_images/batch_6/min_0.png,,,42,"3b, 5x5 ",3,5
68,5,68,6,natural,main,False,6,layer_3,2,channel_0,min_max,True,3,7.301997661590576,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_2/channel_0/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_2/channel_0/natural_images/batch_6/max_9.png,,,42,"4b, 5x5 ",3,5
69,5,69,6,natural,main,False,6,layer_2,3,channel_1,max_min,True,-3,5.1315557956695566,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_1/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_1/natural_images/batch_6/min_0.png,,,42,"4a, P int.",3,5
70,5,70,6,natural,main,True,0,layer_q,q,channel_q,min_max,True,3,2.1074447631835938,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_q/kernel_size_q/channel_q/natural_images/batch_0/min_5.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_q/kernel_size_q/channel_q/natural_images/batch_0/max_3.png,,,42,"layer_q, q ",3,5
71,5,71,6,natural,main,False,6,layer_8,0,channel_0,min_max,True,3,3.059739828109741,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_0/channel_0/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_0/channel_0/natural_images/batch_6/max_9.png,,,42,"5b, 1x1 ",3,5
72,5,72,6,natural,main,False,6,layer_8,2,channel_0,min_max,True,2,13.216622829437256,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_2/channel_0/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_2/channel_0/natural_images/batch_6/max_9.png,,,42,"5b, 5x5 ",2,5
73,5,73,6,natural,main,True,0,layer_i,i,channel_i,min_max,True,3,4.96573281288147,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_i/kernel_size_i/channel_i/natural_images/batch_0/min_1.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_i/kernel_size_i/channel_i/natural_images/batch_0/max_4.png,,,42,"layer_i, i ",3,5
74,5,74,7,optimized,main,False,7,layer_4,1,channel_0,max_min,True,-2,2.9280300140380864,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_1/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_1/channel_0/natural_images/batch_7/min_0.png,,,42,"4c, 3x3 ",2,5
75,5,75,7,optimized,main,False,7,layer_7,3,channel_0,max_min,True,-2,4.082082986831665,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_0/natural_images/batch_7/min_0.png,,,42,"5a, P ",2,5
